,Property_Area,Frequency_of_Powercuts,Traffic_Density_Score,Air_Quality_Index,Neighborhood_Review,Crime_Rate_equivalent,Water_Supply_equivalent,Dust_and_Noise_equivalent,Property_Type_equivalent,Power_Backup_equivalent
26,275,1.0,6.68,89.0,4.17,50,1.0,15,1,0.0
27,593,0.0,6.81,137.0,4.11,25,1.5,15,1,1.0
28,1511,0.0,6.58,137.0,3.8,50,2.0,20,4,0.0
29,1189,0.0,5.78,98.0,3.54,20,1.0,20,5,0.5
30,700,0.0,7.19,158.0,4.71,50,1.0,20,2,1.0
31,393,1.0,6.76,102.0,3.21,25,1.5,15,1,1.0
32,636,1.0,7.9,134.0,3.48,40,1.0,20,5,0.0
33,828,0.0,7.03,116.0,4.14,40,1.0,20,2,0.0
34,975,0.0,7.96,148.0,4.72,50,1.0,20,5,1.0
35,2215,1.0,7.48,167.0,3.13,50,3.0,20,4,1.0
36,243,0.0,6.62,148.0,3.16,20,2.0,20,2,1.0
37,814,1.0,5.91,119.0,3.51,40,1.0,20,2,0.0
38,2054,1.0,7.87,154.0,3.46,25,1.5,15,1,1.0
39,213,1.0,7.63,107.0,4.14,50,1.0,20,2,0.0
40,875,0.0,7.18,90.0,4.48,50,2.0,20,5,0.0
41,1314,0.0,6.26,168.0,4.08,50,2.0,20,4,0.0
42,358,1.0,7.12,110.0,3.52,40,1.0,20,2,0.0
43,885,0.0,4.71,91.0,4.5,25,2.0,20,2,1.0
44,411,0.0,4.69,114.0,3.84,40,2.0,20,2,0.0
45,910,2.0,8.36,197.0,2.71,50,2.0,30,5,0.0
46,2028,1.0,4.88,88.0,2.93,20,1.0,20,4,0.0
47,999,1.0,6.08,143.0,2.23,10,1.0,20,2,0.0
48,361,0.0,5.37,80.0,3.56,25,1.5,15,1,1.0
49,3932,0.0,6.25,138.0,4.43,50,2.0,20,6,0.0
50,1879,0.0,7.96,163.0,4.07,50,2.0,20,4,1.0
51,738,2.0,5.33,81.0,2.31,40,2.0,20,5,0.0
52,2456,0.0,5.3,82.0,4.82,50,1.0,20,6,1.0
53,1604,1.0,8.66,165.0,3.06,40,2.0,30,4,0.0
54,825,0.0,6.38,164.0,2.82,10,1.0,20,2,0.0
55,152,0.0,4.97,115.0,4.15,40,1.0,20,2,0.0
56,2267,0.0,6.71,160.0,4.71,50,1.0,20,4,0.0
57,741,0.0,6.82,151.0,4.09,50,2.0,20,2,0.0
58,820,0.0,5.04,119.0,3.52,20,1.0,20,5,0.0
59,747,1.0,6.28,132.0,3.81,50,2.0,20,2,0.0
60,429,1.0,5.07,101.0,3.23,40,2.0,20,1,0.0
61,12790,0.0,5.76,98.0,3.85,40,2.0,20,6,0.0
62,1406,1.0,5.67,96.0,3.54,40,1.0,15,4,0.0
63,1533,1.0,7.04,98.0,2.59,20,2.0,20,4,0.0
64,1864,2.0,7.28,92.0,2.91,25,1.5,15,1,1.0
65,753,1.0,7.09,133.0,4.11,25,1.0,20,2,0.0
66,1479,0.0,5.3,102.0,4.16,40,1.0,20,4,0.0
67,938,0.0,7.43,96.0,4.47,25,1.5,15,1,1.0
68,1116,0.0,4.75,83.0,4.19,40,1.0,20,4,1.0
69,507,1.0,4.84,116.0,3.52,25,1.5,15,1,1.0
70,2822,0.0,6.7,136.0,2.86,10,1.0,20,6,0.0
71,3145,0.0,7.99,110.0,2.57,10,2.0,20,6,0.0
72,1030,1.0,7.46,166.0,2.19,20,2.0,20,5,0.0
73,463,1.0,6.43,126.0,3.44,40,1.0,30,5,0.0
74,2261,0.0,4.96,106.0,3.53,20,1.0,20,4,0.0
75,768,2.0,6.33,150.0,1.27,25,1.5,15,1,1.0
76,282,0.0,5.48,96.0,3.23,20,2.0,20,2,0.0
77,577,1.0,6.58,156.0,3.46,40,1.0,20,2,0.0
78,15493,0.0,6.83,124.0,2.56,10,2.0,20,2,0.0
79,3512,0.0,6.53,137.0,2.86,40,2.0,20,6,1.0
80,191,0.0,7.0,158.0,4.08,50,2.0,20,2,0.0
81,3903,1.0,5.08,112.0,3.21,40,2.0,20,6,1.0
82,772,1.0,4.81,99.0,3.54,25,1.5,15,1,1.0
83,1377,0.0,6.26,87.0,4.18,50,2.0,20,4,0.0
84,368,0.0,6.48,169.0,4.7,50,1.0,20,1,0.5
85,331,1.0,5.26,98.0,4.17,50,1.0,20,2,0.0
86,1242,0.0,7.68,139.0,3.79,50,2.0,20,4,0.0
87,965,1.0,7.94,146.0,4.09,50,1.0,20,5,0.0
88,490,0.0,6.61,158.0,3.77,50,2.0,20,2,0.0
89,1134,0.0,6.04,130.0,4.75,50,1.0,20,4,1.0
90,1665,1.0,5.85,111.0,4.15,25,1.5,15,1,1.0
91,906,0.0,6.26,94.0,4.17,50,2.0,20,2,0.0
92,597,0.0,7.76,124.0,4.44,50,2.0,20,5,1.0
93,249,0.0,5.23,95.0,3.86,40,2.0,20,2,0.0
94,1562,3.0,5.61,119.0,1.63,20,1.0,20,4,1.0
95,958,0.0,7.28,162.0,4.7,50,1.0,20,2,0.0
96,959,0.0,6.65,153.0,3.46,40,2.0,20,2,0.0
97,334,0.0,7.17,169.0,4.38,50,2.0,20,2,0.0
98,867,0.0,7.16,135.0,4.74,25,1.5,15,1,1.0
99,527,0.0,4.74,102.0,3.54,25,1.5,15,1,1.0
100,903,2.0,6.65,116.0,3.51,50,1.0,20,5,1.0
101,438,0.0,3.69,35.0,4.01,40,2.0,15,2,1.0
102,1798,2.0,6.32,134.0,3.18,50,2.0,20,4,0.0
103,1838,0.0,2.92,82.0,3.64,40,2.0,10,4,0.0
104,773,0.0,7.82,131.0,4.74,50,1.0,20,2,1.0
105,962,1.0,5.81,82.0,2.93,40,2.0,20,2,0.0
106,235,0.0,7.66,168.0,2.81,20,2.0,20,2,0.0
107,1817,0.0,7.81,125.0,2.86,10,1.0,20,4,0.0
108,141,1.0,6.62,83.0,4.18,50,1.0,20,2,0.0
109,875,1.0,4.55,95.0,3.24,40,2.0,20,5,0.0
110,231,2.0,5.7,81.0,2.93,40,1.0,20,2,0.0
111,1018,0.0,6.1,129.0,4.75,50,1.0,20,5,1.0
112,496,0.0,5.21,99.0,4.8,25,1.5,15,1,1.0
113,3273,0.0,6.91,122.0,4.76,25,1.5,15,1,1.0
114,553,0.0,7.3,107.0,4.46,50,2.0,20,2,0.0
115,460,0.0,5.76,96.0,3.86,40,2.0,20,2,0.0
116,462,0.0,3.49,98.0,4.87,50,1.0,10,1,0.0
117,1548,0.0,5.68,106.0,2.9,20,2.0,20,4,0.0
118,721,0.0,7.35,119.0,4.13,40,1.0,20,2,0.0
119,388,0.0,6.08,155.0,3.47,40,2.0,20,2,0.0
120,942,0.0,5.42,110.0,4.15,40,1.0,20,2,1.0
121,278,0.0,6.9,150.0,4.72,50,1.0,20,2,0.0
122,2226,3.0,4.82,98.0,2.92,50,1.0,20,4,0.0
123,1860,0.0,6.17,96.0,3.85,50,3.0,15,4,1.0
124,2795,0.0,6.16,97.0,4.17,40,1.0,20,6,0.0
125,417,2.0,5.39,114.0,3.21,50,2.0,20,5,0.0
126,675,1.0,5.09,96.0,2.92,20,1.0,20,2,0.0
127,352,0.0,7.2,114.0,1.94,10,3.0,20,2,1.0
128,1260,0.0,7.25,109.0,4.14,50,2.0,20,5,0.0
129,204,0.0,5.69,96.0,4.48,50,2.0,20,2,0.0
130,1465,1.0,5.27,119.0,3.83,50,2.0,20,4,0.0
131,2157,1.0,5.05,116.0,3.52,40,1.0,20,4,0.0
132,1712,0.0,6.45,146.0,4.73,50,1.0,20,4,0.0
133,2121,1.0,5.73,101.0,4.16,25,1.5,15,1,1.0
134,460,0.0,4.35,96.0,3.55,25,1.5,15,1,1.0
135,993,0.0,4.95,120.0,3.83,40,2.0,20,2,0.0
136,1602,1.0,6.54,120.0,3.82,25,1.5,15,1,1.0
137,110,1.0,7.25,156.0,2.2,20,2.0,20,2,0.0
138,2369,1.0,6.93,86.0,3.8,50,2.0,30,6,1.0
139,3674,3.0,7.83,81.0,2.29,25,1.5,15,1,1.0
140,3389,0.0,5.1,103.0,4.23,40,1.0,10,6,0.0
141,2139,0.0,4.83,93.0,4.18,40,1.0,20,4,1.0
142,2010,0.0,6.06,159.0,4.09,50,2.0,15,4,1.0
143,898,0.0,7.46,92.0,3.85,25,1.5,15,1,1.0
144,993,0.0,6.9,146.0,3.79,40,2.0,20,2,0.0
145,206,2.0,5.84,105.0,3.53,50,1.0,20,2,1.0
146,1298,2.0,5.87,120.0,2.88,40,1.0,20,4,0.0
147,952,0.0,7.54,126.0,2.87,10,1.0,20,5,1.0
148,536,0.0,5.87,95.0,4.17,25,1.5,15,1,1.0
149,383,0.0,8.19,173.0,3.68,40,2.0,30,1,0.0
150,1133,1.0,6.4,128.0,3.18,25,2.0,20,4,0.0
151,781,0.0,6.14,151.0,4.41,50,2.0,20,2,1.0
152,1618,1.0,5.08,83.0,2.93,40,2.0,15,4,0.0
153,2294,0.0,6.35,83.0,4.18,50,2.0,20,4,1.0
154,2012,1.0,5.77,111.0,3.84,50,2.0,20,4,1.0
155,229,0.0,9.36,152.0,4.01,40,1.0,30,3,0.0
156,315,1.0,4.57,117.0,3.52,40,1.0,20,1,0.0
157,331,1.0,7.08,81.0,3.55,40,1.0,20,2,1.0
158,468,0.0,4.79,86.0,4.19,40,1.0,20,2,0.0
159,1192,2.0,5.78,80.0,2.93,40,1.0,20,4,0.0
160,1364,1.0,7.02,133.0,3.8,50,2.0,20,4,0.0
161,280,1.0,7.38,93.0,2.91,40,2.0,20,1,0.0
162,2147,1.0,5.23,103.0,4.1,50,1.0,30,4,0.0
163,2104,1.0,6.82,145.0,3.47,50,2.0,20,4,1.0
164,14233,0.0,7.04,103.0,4.78,50,1.0,20,6,0.0
165,4201,0.0,8.93,182.0,4.61,50,1.0,30,6,1.0
166,2100,1.0,5.95,111.0,3.52,40,1.0,20,4,1.0
167,874,0.0,4.97,112.0,2.9,20,2.0,20,3,0.0
168,2283,0.0,5.76,87.0,4.18,50,2.0,20,6,0.0
169,671,0.0,7.16,147.0,3.78,50,3.0,20,2,0.0
170,1284,0.0,7.3,163.0,4.7,50,1.0,20,5,0.0
171,1820,1.0,6.5,147.0,4.1,50,1.0,20,6,0.0
172,1761,1.0,7.14,125.0,3.43,40,1.0,30,4,0.0
173,4028,1.0,4.83,85.0,3.56,25,1.5,15,1,1.0
174,426,0.0,3.22,92.0,3.63,20,1.0,10,2,1.0
175,1525,0.0,5.68,101.0,2.91,20,2.0,15,4,1.0
176,1423,1.0,7.13,132.0,3.49,50,2.0,20,4,0.0
177,274,0.0,6.53,163.0,4.71,50,1.0,20,3,0.0
178,1860,0.0,7.28,119.0,1.93,10,3.0,20,6,0.0
179,953,0.0,9.16,127.0,3.42,20,1.0,30,2,0.0
180,1614,0.0,5.03,108.0,3.22,20,2.0,20,4,0.0
181,4146,0.0,5.88,87.0,4.18,40,1.0,20,6,0.0
182,2298,0.0,7.47,157.0,4.08,50,2.0,20,4,1.0
183,2247,0.0,6.64,116.0,3.51,40,2.0,20,4,0.0
184,502,0.0,6.42,102.0,4.16,50,2.0,20,5,0.0
185,396,0.0,5.63,92.0,3.86,25,1.5,15,1,1.0
186,1749,1.0,3.38,42.0,4.0,25,1.5,15,1,1.0
187,2296,0.0,5.32,87.0,3.56,25,1.5,15,1,1.0
188,656,0.0,6.6,134.0,4.43,50,2.0,20,2,1.0
189,453,1.0,7.23,93.0,4.16,50,1.0,20,2,0.0
190,1660,0.0,5.91,117.0,3.51,40,2.0,20,4,0.0
191,1969,0.0,7.37,86.0,4.8,50,1.0,20,6,0.0
192,691,1.0,7.28,167.0,4.07,50,1.0,20,5,0.0
193,2084,0.0,6.19,103.0,4.79,25,1.5,15,1,1.0
194,1212,0.0,4.88,82.0,3.88,40,2.0,20,4,0.0
195,129,0.0,7.75,831.0,4.09,50,2.0,20,2,0.0
196,652,1.0,7.61,143.0,3.47,50,2.0,20,2,0.0
197,4088,0.0,5.39,106.0,4.47,50,2.0,20,6,0.0
198,1100,1.0,6.52,161.0,1.89,10,2.0,20,5,0.0
199,303,1.0,6.42,110.0,4.15,50,1.0,20,2,0.0
200,1056,0.0,4.53,118.0,4.46,50,2.0,20,5,0.0
201,1551,2.0,6.89,120.0,2.88,50,2.0,20,4,1.0
202,813,1.0,5.64,89.0,2.92,40,2.0,20,2,0.0
203,293,0.0,7.42,120.0,4.13,40,1.0,20,2,1.0
204,260,1.0,6.73,91.0,2.29,10,1.0,15,1,0.0
205,545,0.0,6.74,130.0,4.43,50,2.0,20,5,0.0
206,466,0.0,6.18,164.0,4.39,50,2.0,20,2,1.0
207,881,0.0,6.41,123.0,4.13,50,2.0,20,2,0.0
208,1423,1.0,5.48,98.0,2.91,20,2.0,20,4,0.0
209,718,0.0,6.33,95.0,3.54,25,1.0,20,2,1.0
210,1200,0.0,6.13,101.0,4.79,50,1.0,20,4,0.0
211,2291,1.0,7.83,85.0,3.54,50,2.0,20,4,0.0
212,730,2.0,5.68,119.0,2.57,40,2.0,15,5,1.0
213,853,0.0,6.74,124.0,3.81,40,2.0,15,5,0.0
214,2183,1.0,4.2,100.0,3.86,25,1.5,15,1,1.0
215,1828,0.0,5.52,115.0,4.15,40,1.0,20,4,0.0
216,1254,3.0,5.97,117.0,1.63,20,1.0,20,4,0.0
217,697,0.0,8.1,187.0,4.61,25,1.5,15,1,1.0
218,849,0.0,7.75,90.0,3.54,20,1.0,20,2,0.0
219,548,1.0,6.22,168.0,1.88,10,2.0,20,2,0.0
220,1229,0.0,5.99,82.0,4.19,40,1.0,20,5,0.0
221,1989,1.0,7.36,123.0,4.13,50,1.0,20,6,1.0
222,967,1.0,7.35,142.0,4.1,50,1.0,20,2,0.0
223,509,0.0,5.76,116.0,3.52,40,2.0,20,2,0.0
224,1213,0.0,8.12,173.0,2.74,20,2.0,30,5,0.0
225,219,0.0,5.92,114.0,4.15,40,1.0,20,2,0.0
226,441,0.0,7.04,84.0,4.8,50,1.0,20,5,0.0
227,454,0.0,5.96,88.0,3.61,40,2.0,10,2,0.0
228,840,0.0,6.56,137.0,3.49,25,1.5,15,1,1.0
229,1343,0.0,6.68,120.0,4.13,40,1.0,20,4,1.0
230,818,0.0,6.04,141.0,4.42,50,2.0,15,2,1.0
231,530,1.0,5.25,83.0,4.19,50,1.0,20,2,0.0
232,519,0.0,6.43,145.0,4.73,50,1.0,20,2,1.0
233,113,1.0,6.91,151.0,4.09,25,1.5,15,1,1.0
234,564,0.0,7.36,167.0,2.5,10,2.0,20,2,1.0
235,783,0.0,7.07,87.0,4.49,50,2.0,20,2,1.0
236,365,1.0,7.01,164.0,3.45,50,2.0,20,1,0.0
237,693,1.0,7.44,132.0,3.49,40,1.0,20,2,0.0
238,1773,1.0,2.82,37.0,2.76,25,1.5,15,1,1.0
239,386,1.0,7.02,141.0,3.48,50,2.0,20,1,0.0
240,372,1.0,6.8,106.0,2.89,40,2.0,20,2,1.0
241,962,1.0,5.63,109.0,3.53,40,1.0,20,2,0.0
242,477,2.0,5.41,99.0,2.91,25,1.5,15,1,1.0
243,3152,0.0,6.47,157.0,4.09,50,2.0,20,6,0.0
244,670,1.0,6.4,95.0,2.28,25,1.5,15,1,1.0
245,664,1.0,6.26,159.0,2.2,20,2.0,20,2,0.0
246,1720,0.0,7.02,137.0,3.48,20,1.0,20,4,0.0
247,8704,0.0,7.5,165.0,3.44,20,1.0,20,5,0.0
248,2170,0.0,7.51,140.0,3.48,20,1.0,20,4,0.0
249,3102,0.0,5.83,119.0,4.14,40,1.0,20,6,0.0
250,2182,0.0,6.9,154.0,4.72,50,1.0,20,6,0.0
251,406,0.0,8.18,190.0,4.29,50,2.0,30,2,0.0
252,490,0.0,6.65,117.0,4.14,50,1.0,20,1,1.0
253,1595,0.0,7.54,169.0,4.69,50,1.0,20,4,0.0
254,776,0.0,8.44,183.0,2.73,20,2.0,30,2,0.0
255,899,0.0,6.47,97.0,2.91,10,1.0,20,5,0.0
256,1466,1.0,3.68,28.0,4.2,50,1.0,30,4,0.0
257,1806,1.0,6.74,97.0,2.28,20,2.0,20,4,0.0
258,2078,1.0,7.99,81.0,4.17,50,1.0,20,4,0.0
259,3020,0.0,3.08,74.0,4.9,50,1.0,10,6,0.0
260,337,3.0,5.88,118.0,2.26,40,1.0,20,2,1.0
261,114,0.0,4.83,120.0,4.14,50,1.0,20,2,0.0
262,683,1.0,7.22,127.0,1.92,10,2.0,20,5,0.0
263,665,0.0,4.44,83.0,4.19,40,1.0,20,2,0.0
264,1906,0.0,5.32,88.0,4.18,40,1.0,20,4,0.0
265,2151,1.0,6.47,165.0,3.45,25,1.5,15,1,1.0
266,1733,0.0,5.94,116.0,3.52,40,2.0,20,4,0.0
267,1165,0.0,6.62,85.0,4.49,50,2.0,20,4,0.0
268,499,0.0,2.59,75.0,4.28,40,1.0,10,5,0.0
269,1958,0.0,5.29,92.0,4.18,25,1.5,15,1,1.0
270,346,1.0,7.12,90.0,1.97,10,2.0,20,2,0.0
271,395,0.0,5.58,108.0,4.16,40,1.0,20,2,0.0
272,193,1.0,3.99,98.0,3.61,40,1.0,10,2,0.0
273,917,0.0,4.62,108.0,3.53,20,1.0,20,2,0.0
274,382,0.0,7.36,121.0,4.76,50,1.0,20,2,0.0
275,1339,0.0,6.69,158.0,3.46,40,2.0,15,4,0.0
276,429,0.0,6.21,95.0,2.6,10,2.0,20,2,0.0
277,871,0.0,7.51,104.0,4.78,50,1.0,20,2,0.0
278,309,0.0,5.51,88.0,3.55,40,2.0,20,2,0.0
279,407,1.0,7.23,134.0,3.48,50,2.0,20,5,0.0
280,392,0.0,6.86,153.0,4.4,50,2.0,20,2,0.0
281,947,1.0,6.96,170.0,3.44,25,2.0,20,2,0.0
282,3796,0.0,7.25,136.0,4.74,50,1.0,20,6,1.0
283,1813,2.0,7.46,133.0,2.86,25,1.0,20,4,0.0
284,1295,1.0,4.5,81.0,3.57,40,1.0,20,4,0.0
285,990,1.0,4.08,80.0,4.2,50,1.0,20,5,0.0
286,894,0.0,7.26,165.0,4.07,40,1.0,20,5,1.0
287,246,0.0,6.75,130.0,4.43,50,2.0,20,1,0.0
288,1912,0.0,5.46,108.0,4.16,40,1.0,20,4,0.0
289,447,0.0,8.18,190.0,3.35,40,2.0,30,3,0.0
290,995,0.0,6.36,136.0,4.43,50,2.0,20,5,0.0
291,638,1.0,6.65,166.0,2.82,40,2.0,20,2,1.0
292,919,0.0,7.93,156.0,4.71,25,1.5,15,1,1.0
293,2630,0.0,6.57,94.0,4.48,50,2.0,20,6,0.0
294,929,0.0,5.61,119.0,3.51,40,2.0,20,2,0.0
295,180,0.0,7.24,92.0,3.85,50,2.0,20,2,0.5
296,160,2.0,4.79,103.0,1.97,20,2.0,20,2,0.0
297,463,1.0,5.21,101.0,2.91,40,2.0,20,5,0.0
298,377,0.0,8.31,163.0,4.32,50,2.0,15,1,0.0
299,1100,0.0,7.85,102.0,3.52,40,2.0,15,4,0.0
300,1425,1.0,6.08,86.0,2.3,10,1.0,20,4,0.0
301,4114,0.0,5.31,110.0,3.53,20,1.0,20,6,1.0
302,1920,1.0,6.71,116.0,4.14,50,1.0,20,4,1.0
303,899,0.0,7.23,159.0,4.71,50,1.0,20,2,0.5
304,907,0.0,7.14,155.0,4.71,50,1.0,20,2,0.0
305,324,1.0,6.88,137.0,2.86,40,2.0,20,3,0.0
306,1118,3.0,6.74,104.0,1.64,40,2.0,20,5,0.0
307,710,0.0,7.0,95.0,3.85,40,2.0,20,5,1.0
308,123,1.0,6.98,153.0,3.78,50,2.0,20,2,0.5
309,1253,1.0,8.01,137.0,2.16,10,1.0,30,4,0.0
310,251,0.0,5.84,107.0,3.21,25,1.5,15,1,1.0
311,958,1.0,5.86,94.0,3.54,40,1.0,20,3,1.0
312,3339,0.0,4.87,118.0,4.15,40,1.0,20,6,1.0
313,2039,1.0,7.39,123.0,4.13,25,1.5,15,1,1.0
314,906,2.0,6.5,135.0,2.86,50,2.0,20,2,0.0
315,485,0.0,2.29,74.0,4.28,40,1.0,10,2,0.0
316,632,0.0,6.77,146.0,4.41,50,2.0,20,2,0.0
317,3109,0.0,6.36,167.0,3.45,40,2.0,20,6,0.0
318,1790,0.0,6.97,85.0,4.49,50,2.0,20,4,0.0
319,1441,0.0,7.36,128.0,4.12,50,2.0,20,4,1.0
320,188,1.0,7.99,108.0,2.88,20,1.0,20,2,0.0
321,761,1.0,6.84,123.0,4.13,50,1.0,20,2,1.0
322,1652,3.0,6.9,110.0,2.26,50,2.0,20,4,0.0
323,1508,3.0,5.4,102.0,1.97,40,2.0,20,4,0.0
324,1756,1.0,6.31,142.0,3.17,50,3.0,20,4,0.0
325,1216,0.0,7.01,87.0,4.17,50,2.0,20,4,0.0
326,378,0.0,5.44,102.0,4.16,40,1.0,20,2,0.0
327,2136,0.0,5.48,95.0,4.17,50,2.0,20,6,0.0
328,3084,1.0,6.73,138.0,4.11,50,1.0,20,6,1.0
329,990,0.0,5.37,84.0,3.87,50,3.0,20,5,0.0
330,1673,0.0,4.79,116.0,4.78,25,1.5,15,1,1.0
331,2257,1.0,4.73,89.0,3.56,40,1.0,20,4,0.0
332,1114,0.0,7.16,149.0,4.09,50,2.0,20,5,0.0
333,709,1.0,5.08,93.0,3.24,40,2.0,20,2,1.0
334,697,3.0,6.23,151.0,2.84,25,1.5,15,1,1.0
335,3649,0.0,5.27,93.0,4.49,25,1.5,15,1,1.0
336,229,0.0,5.94,102.0,4.16,40,1.0,20,3,0.0
337,462,0.0,6.68,124.0,4.44,50,2.0,20,2,0.0
338,4026,2.0,6.94,110.0,2.26,20,1.0,20,6,0.0
339,788,0.0,8.9,144.0,3.09,20,2.0,30,5,0.0
340,150,1.0,6.79,153.0,2.21,20,2.0,20,2,0.0
341,3483,0.0,7.74,96.0,4.78,50,1.0,20,6,1.0
342,2128,1.0,6.91,110.0,4.14,50,1.0,20,4,0.0
343,973,0.0,7.28,140.0,4.04,50,2.0,30,2,0.0
344,541,0.0,7.97,88.0,4.79,50,1.0,20,5,1.0
345,4028,0.0,6.92,101.0,4.47,25,1.5,15,1,1.0
346,1731,1.0,6.65,99.0,3.53,50,2.0,20,4,0.0
347,840,0.0,7.5,141.0,4.42,50,2.0,20,2,0.0
348,763,0.0,7.28,122.0,2.56,25,1.5,15,1,1.0
349,674,0.0,6.2,133.0,4.75,50,1.0,20,2,1.0
350,949,0.0,6.12,141.0,3.48,40,2.0,20,2,0.0
351,332,1.0,5.42,83.0,2.3,20,2.0,20,2,0.0
352,3786,0.0,6.31,163.0,2.83,25,1.5,15,1,1.0
353,101,0.0,7.06,94.0,3.54,20,1.0,20,2,0.0
354,366,1.0,5.33,113.0,3.52,40,1.0,20,2,1.0
355,958,0.0,7.68,108.0,4.77,50,1.0,20,5,0.0
356,3984,0.0,6.6,92.0,3.86,40,2.0,15,6,0.0
357,760,0.0,5.99,115.0,4.14,40,1.0,20,2,0.0
358,4263,1.0,6.76,97.0,3.53,25,1.5,15,1,1.0
359,3577,0.0,4.6,88.0,3.56,40,2.0,20,6,1.0
360,352,0.0,6.06,158.0,2.52,10,2.0,20,1,0.0
361,957,1.0,7.16,142.0,3.48,50,2.0,20,5,0.0
362,2603,0.0,4.18,93.0,4.81,50,1.0,20,6,0.0
363,1351,0.0,7.39,163.0,4.39,50,2.0,20,4,0.0
364,1826,1.0,6.65,128.0,3.81,25,1.5,15,1,1.0
365,949,0.0,7.52,99.0,4.47,50,2.0,20,2,0.0
366,863,0.0,6.41,132.0,2.86,25,1.5,15,1,1.0
367,174,0.0,5.73,107.0,4.16,40,1.0,20,2,0.0
368,900,0.0,7.5,147.0,4.72,50,1.0,20,2,0.0
369,1586,0.0,4.41,91.0,4.81,25,1.5,15,1,1.0
370,1927,0.0,4.98,82.0,3.88,25,1.5,15,1,1.0
371,893,0.0,7.81,145.0,4.72,50,1.0,20,2,0.0
372,1883,1.0,5.72,95.0,3.23,40,2.0,20,4,0.0
373,1200,0.0,5.88,117.0,4.46,50,2.0,20,4,0.0
374,1880,1.0,7.47,151.0,4.09,50,1.0,20,6,1.0
375,2957,1.0,7.32,107.0,4.15,50,1.0,20,6,0.0
376,788,0.0,7.21,118.0,2.88,20,2.0,20,2,0.0
377,2010,0.0,5.69,91.0,4.18,40,1.0,20,4,0.0
378,972,0.0,7.73,93.0,4.79,50,1.0,20,5,0.0
379,289,0.0,7.2,153.0,4.72,50,1.0,20,2,0.0
380,1267,0.0,8.57,122.0,3.43,20,1.0,30,4,0.0
381,834,1.0,7.24,131.0,3.49,40,1.0,20,2,0.0
382,1599,0.0,7.64,115.0,4.13,40,1.0,20,4,0.0
383,856,0.0,7.97,166.0,4.63,50,1.0,30,5,0.0
384,352,0.0,6.02,99.0,2.91,10,1.0,20,2,0.0
385,448,0.0,6.79,132.0,4.12,50,2.0,20,2,0.0
386,702,0.0,6.71,120.0,4.13,25,2.0,20,2,0.0
387,737,0.0,6.39,132.0,4.43,50,2.0,20,2,0.0
388,824,1.0,5.72,118.0,3.51,25,1.5,15,1,1.0
389,16865,0.0,5.95,100.0,3.85,40,2.0,20,4,1.0
390,982,0.0,7.1,118.0,4.76,50,1.0,20,5,1.0
391,3879,0.0,6.56,155.0,4.72,50,1.0,20,6,0.0
392,646,0.0,5.21,84.0,4.5,50,2.0,20,5,1.0
393,1259,0.0,7.53,136.0,4.74,50,1.0,20,4,0.0
394,422,0.0,7.0,102.0,4.47,50,2.0,20,1,1.0
395,536,2.0,3.38,49.0,3.05,50,2.0,10,2,0.0
396,938,0.0,8.03,149.0,4.03,50,2.0,30,2,1.0
397,401,0.0,5.8,114.0,2.89,20,2.0,20,1,0.0
398,1489,1.0,6.5,159.0,3.46,50,2.0,20,4,0.0
